candidate,amplitude,frequency_hz,spatial_phase_pi,direction,score,valid_gait,forward_speed_lbm_s,lateral_speed_lbm_s,yaw_rate_deg_s,com_forward_displacement_lbm,com_lateral_displacement_lbm,mean_joint_pp_deg,tail_joint_pp_deg,mean_action_sq,joint_saturation_fraction,executed_steps,terminated_early
31,0.3705514072810442,0.4796688031797109,0.9892631886049398,-1.0,-100.00868709927046,False,-0.005495930284502388,-0.06907794595289704,0.29569278626392276,0.5245513916015625,-2.099761962890625,25.33696937561035,49.84490966796875,0.027498754598200323,0.0,800,False
29,0.471089371652123,0.5232285709588608,0.9487982444748175,-1.0,-100.01881828090505,False,-0.015331660789533786,-0.14671051222046688,0.5540693545132257,-0.0692901611328125,-2.69970703125,30.517257690429688,57.5987548828125,0.045152046725153924,0.0,800,False
12,0.394066137482433,0.3773516066585799,0.8253105062393932,-1.0,-100.02963231834208,False,-0.05708473836092613,-0.17633987307189464,0.3397935877830635,-0.3589324951171875,-2.9204254150390625,36.72393035888672,73.54393005371094,0.03073748639971018,0.0,800,False
14,0.34150155189620945,0.3058361745417024,1.0384641128834373,-1.0,-100.0320814036635,False,-0.06296905136351012,-0.18379192093428529,0.723137915994398,-0.07086181640625,-3.91558837890625,39.50056838989258,77.37911987304688,0.023512247525155544,0.0,800,False
0,0.36,0.3125,0.975,-1.0,-100.03695865970782,False,-0.07860757500158906,-0.19892534959544134,0.8123612450959723,-0.4562835693359375,-3.644805908203125,39.75845718383789,78.61553955078125,0.025749610682949425,0.0,800,False
15,0.5253788343366724,0.530099792951785,0.9668283325909667,-1.0,-100.03763821224749,False,-0.11094300636968174,-0.13461760399775974,0.45451989859638164,-1.0192413330078125,-2.5528717041015625,31.775732040405273,62.58833312988281,0.05556993355229497,0.0,800,False
7,0.5680752722299339,0.5487318722802739,1.1204914889875193,-1.0,-100.04329733301498,False,-0.1277172377610409,-0.15332028759755667,0.5809837563923546,-0.9732208251953125,-3.450164794921875,32.038639068603516,62.76423645019531,0.06508951204270125,0.0,800,False
20,0.5467155602647045,0.5163989684268933,0.8786868132854553,-1.0,-100.04825591919806,False,-0.13731102751559446,-0.18878844839109826,0.41817900537016556,-1.5625,-3.20513916015625,32.6487922668457,67.37738800048828,0.06103390225023031,0.0,800,False
30,0.5071110770934564,0.41737271747351024,1.0555197574764996,-1.0,-100.05207481266669,False,-0.14809423219626472,-0.2132634279804697,-0.1109486165437033,-1.5345916748046875,-3.846954345703125,38.62731170654297,78.85921478271484,0.0517379693351686,0.0,800,False
21,0.42848398161804324,0.3932849314660609,0.8158643115000873,-1.0,-100.05244446771032,False,-0.12046704624806782,-0.150013701397579,0.3071741976239699,-1.1373443603515625,-2.5346221923828125,36.60001754760742,75.08120727539062,0.03736308950185776,0.006,800,False
26,0.3607181244741136,0.3541827010273785,0.9037512102043233,-1.0,-100.0737647932357,False,-0.07753719327865594,-0.1735354358531691,0.4663925319360623,-0.3990325927734375,-3.4211883544921875,34.608341217041016,70.22575378417969,0.026412783125415444,0.02,800,False
16,0.43136517853737194,0.2720780341423036,0.9864645414093054,-1.0,-100.12667503879607,False,-0.4181656485659146,-0.11126391485546411,0.20582513511933206,-4.50433349609375,-2.5546875,51.83506393432617,108.52754974365234,0.038348534900695085,0.014,800,False
17,0.49243589375395097,0.28318030277626405,0.8591987913273542,-1.0,-100.12809602106128,False,-0.5796964486197789,-0.06725425806732523,0.03750261794420748,-6.248779296875,-2.4525146484375,54.74907684326172,117.4441146850586,0.04776932444423437,0.0,800,False
13,0.6717765687001274,0.43112704798540336,1.0625590802254286,-1.0,-100.12963805862184,False,-0.5209974781061233,-0.19767674115862482,0.4111043032147791,-5.66876220703125,-4.61285400390625,47.28412628173828,96.69812774658203,0.09236052500456572,0.0,800,False
18,0.7073601706440253,0.46189787062189824,0.7763363794954421,-1.0,-100.13545191378245,False,-0.5376003015120462,-0.21880614845457427,0.5413679088846798,-5.0504913330078125,-3.283172607421875,43.879058837890625,93.206298828125,0.09969546511769295,0.0,800,False
5,0.8789482568039906,0.4498680003845654,0.8416748224663498,-1.0,-100.15416528935695,False,-0.6916540929591453,0.06566003667579128,0.4561588828513114,-9.582168579101562,0.4806976318359375,54.74055099487305,117.44575500488281,0.15594553884863854,0.0,800,False
11,0.6892144794828008,0.3746481193083465,0.9442105335513362,-1.0,-100.15595794297218,False,-0.6703285696931854,-0.15308264965970023,0.037579245735791654,-8.573287963867188,-2.500518798828125,54.77264404296875,116.81139373779297,0.09445355284959078,0.0,800,False
22,0.5941110441911829,0.33387023083251044,0.9047603278005295,-1.0,-100.16650173350351,False,-0.6071421273600132,-0.06559927174767292,0.23611144534340103,-7.5072784423828125,-0.42230224609375,54.42084884643555,116.5024185180664,0.07258831824362277,0.016,800,False
19,0.9262643243169908,0.472386589870893,1.175693314966061,-1.0,-100.16767038567987,False,-0.7702964976166545,-0.03881327891034222,0.056610126183125775,-9.900680541992188,-0.95013427734375,54.293663024902344,117.3810043334961,0.17272002346813678,0.0,800,False
25,0.31367396333197706,0.21447071003719914,0.9293387461443434,-1.0,-100.2133586969188,False,-0.250335568810537,-0.0938882153355762,0.008210693161793788,-2.2014617919921875,-2.3770599365234375,50.64680099487305,104.4466781616211,0.019455143297091127,0.076,800,False
10,0.8040862314241553,0.4001608446411774,0.7829654625046316,-1.0,-100.44028368984665,False,-1.2167561754353464,-0.03460741772654592,-0.5376232260753347,-13.72845458984375,-0.6004638671875,57.26609420776367,124.72796630859375,0.13050225047022104,0.09,800,False
9,0.9456213235193642,0.42599297370057687,1.1625947071981055,-1.0,-100.90893067172136,False,-1.3844276776032896,-0.17863187872429231,0.08102397159996533,-17.511367797851562,-3.759552001953125,64.0388412475586,141.52005004882812,0.18100433745980263,0.3,800,False
24,0.6402327545766295,0.2944780876023724,1.1518124913414063,-1.0,-100.92213913019549,False,-1.203456955173036,-0.22867984610366174,0.19172533314813817,-14.590988159179688,-4.6931915283203125,67.81461334228516,141.1835479736328,0.08227858982980252,0.324,800,False
4,0.8581381929434362,0.34658982513551234,1.1993255553380746,-1.0,-101.19344407880075,False,-1.874971768539419,-0.33202506646696517,0.40893901823261025,-22.86334228515625,-4.1479339599609375,71.94847106933594,142.43746948242188,0.14919385714828967,0.384,800,False
3,0.6172869931647051,0.24790019250133155,1.1430204946135896,-1.0,-101.24799147212902,False,-1.7972754527858936,-0.33212290036660147,0.5043971923011,-20.45989990234375,-5.0818634033203125,74.87467956542969,141.58702087402344,0.07711125241219997,0.42,800,False
1,0.8,0.3125,0.975,-1.0,-101.3367996944587,False,-2.1345388058554184,-0.2572182460726914,0.8289141091813861,-25.816482543945312,-3.8546600341796875,73.55044555664062,142.07928466796875,0.12715856470167636,0.432,800,False
8,0.8257805060981724,0.31102424395965406,0.8752853341029921,-1.0,-101.41894786961613,False,-2.3145572371718206,-0.2638636069680999,0.7440394311976274,-27.368606567382812,-4.0768585205078125,74.2533187866211,142.3252410888672,0.13563191340863703,0.454,800,False
2,0.9106880450385935,0.32512842854737084,1.0119627461418697,-1.0,-101.51585429528784,False,-2.6345769431051362,-0.32085189534605796,0.8962125982004618,-32.65339660644531,-4.1949615478515625,77.9671630859375,142.4512939453125,0.16700237776339055,0.466,800,False
28,0.7422098777739037,0.26539255498574776,1.104085397262663,-1.0,-101.61688394058456,False,-2.3861137229461034,-0.6985049746351332,-0.02902554659471506,-29.05841064453125,-7.9820709228515625,79.58248138427734,142.6759490966797,0.11207072316110134,0.526,800,False
27,0.7946493038434725,0.24174119801052116,0.7573650952674911,-1.0,-101.81122184289345,False,-3.3505767966919535,-0.49663468307193537,-0.02918242930369901,-36.74922180175781,-7.363250732421875,82.16829681396484,142.44456481933594,0.12872878818958997,0.532,800,False
6,0.7372585032305412,0.22351780953670808,0.8004884669384491,-1.0,-101.88520362464715,False,-3.324848198257539,-0.35796343704173644,-0.452471631289871,-36.96160888671875,-8.159088134765625,83.01307678222656,142.29946899414062,0.10890662401914597,0.578,800,False
23,0.9671191063992328,0.2042397228246486,1.076229203643647,-1.0,-102.60044916610819,False,-3.7480994474270877,-0.5945229279696412,0.02942673382517083,-41.52656555175781,-8.6007080078125,95.06474304199219,142.9872283935547,0.19036153621971608,0.88,800,False
